transaction_id,delivery_date,pickup_latitude,pickup_longitude,dropoff_latitude,dropoff_longitude,demand_volume,fuel_price_factor,final_price_idr
1,2024-10-01 00:00:00,-6.130577652463237,106.8023731130349,-6.194092389190051,106.8968955341935,739,1.0543698163667616,168360.91478725564
2,2024-10-01 01:00:00,-6.2920211866720175,106.86802687568057,-6.117070205084658,106.88278414865862,298,1.0712494178343173,155780.94800571207
3,2024-10-01 02:00:00,-6.267898705521218,106.87810980483788,-6.1440864158350745,106.91344232700709,283,1.0495329498182537,131937.79284976868
4,2024-10-01 03:00:00,-6.137657572926393,106.80449628269591,-6.190219596541117,106.85953744204629,366,1.0578706353288208,117701.19893576771
5,2024-10-01 04:00:00,-6.27839989458924,106.78583370067817,-6.297780127858282,106.83283073904143,415,1.0971309653363366,115779.03196887014
6,2024-10-01 05:00:00,-6.1115068249239135,106.935964405929,-6.199505625395781,106.73397421799302,146,1.0386223363655545,155208.91104436474
7,2024-10-01 06:00:00,-6.261291015626241,106.95282586774611,-6.290584894394191,106.94602979194704,467,1.0006860130418513,101106.18264936878
8,2024-10-01 07:00:00,-6.174996281285716,106.96211023974236,-6.183501043102631,106.91053640579483,492,1.0150670419282988,122601.3585639452
9,2024-10-01 08:00:00,-6.138297940682167,106.77581138005758,-6.192048159965038,106.85341410153592,397,1.0938289366401621,141021.50561088137
10,2024-10-01 09:00:00,-6.198643874694037,106.94694361257201,-6.242984313676745,106.96238663225749,423,1.0569352535589327,118853.24720385247
11,2024-10-01 10:00:00,-6.217414502127195,106.98270907861294,-6.287485842860419,106.98185288825584,184,1.0083575002693994,92892.4123760041
12,2024-10-01 11:00:00,-6.256008826794074,106.80381435729826,-6.28049563795763,106.81786904975745,294,1.0801757238902243,92233.98220487543
13,2024-10-01 12:00:00,-6.133796217543055,106.7867382860228,-6.174842717274905,106.86156087992892,305,1.001095853784821,109583.1775179675
14,2024-10-01 13:00:00,-6.2441679133361845,106.85270632866835,-6.102576746097283,106.91249509811374,313,1.0161344710350213,140648.7964352042
15,2024-10-01 14:00:00,-6.236825228121224,106.81503862417617,-6.142197785553767,106.9224451402808,90,1.085930450869657,123205.6917282322
16,2024-10-01 15:00:00,-6.116448688718522,106.81790055681086,-6.241439506180726,106.73778939551609,480,1.0477030161332197,157892.74552144713
17,2024-10-01 16:00:00,-6.188776150765235,106.83808468231821,-6.249414306560291,106.79456582629254,156,1.0485878351942715,96560.97398739895
18,2024-10-01 17:00:00,-6.16187621970965,106.78117353511217,-6.294102221105424,106.949838466594,477,1.0860982547104494,200790.40666433016
19,2024-10-01 18:00:00,-6.147889961274412,106.90397933438759,-6.217012384575339,106.8751492834327,293,1.0266488160619882,115230.87825516456
20,2024-10-01 19:00:00,-6.112800813932425,106.76246742200826,-6.11027273554473,106.78787515468669,361,1.0956722207768463,106942.05014035922
21,2024-10-01 20:00:00,-6.258183310179614,106.7179052812262,-6.130096220004504,106.87798090776072,498,1.0653565268346272,186363.21809110334
22,2024-10-01 21:00:00,-6.164729964263921,106.86990977130617,-6.2356046893645924,106.77084063050492,442,1.0276000830438927,139343.97582029234
23,2024-10-01 22:00:00,-6.149640892394153,106.78650280917229,-6.244622268245404,106.86407669169067,307,1.0549530810650127,130960.93404708488
24,2024-10-01 23:00:00,-6.131032547006671,106.92234118051013,-6.2344432702618136,106.88514480734467,266,1.0986917206800046,127313.81044951947
25,2024-10-02 00:00:00,-6.21627053455803,106.76435224219878,-6.224688517084705,106.84488700425284,356,1.0163610865214525,113213.57220727076
26,2024-10-02 01:00:00,-6.2827030611182915,106.96056330511345,-6.11450940846621,106.77809737575274,444,1.0370276752907852,195003.79995410866
27,2024-10-02 02:00:00,-6.207137495443632,106.7181592269166,-6.2156681820482405,106.9746223515028,416,1.0331136678702868,195541.81297080222
28,2024-10-02 03:00:00,-6.142208530205205,106.84362865105683,-6.243277602399007,106.76070046527049,152,1.0529788026996716,119231.32443886662
29,2024-10-02 04:00:00,-6.274954623489604,106.77557061912655,-6.13324816471248,106.77524030118362,630,1.0589358912641538,170585.9479434588
30,2024-10-02 05:00:00,-6.168480505374172,106.99837637735456,-6.227325734056252,106.89255658823618,423,1.006470640301253,134664.5004789895
31,2024-10-02 06:00:00,-6.126730846139462,106.83917610897136,-6.12951371924404,106.88814644438499,63,1.0621759568230174,76413.61326820371
32,2024-10-02 07:00:00,-6.174186550757048,106.70822966592704,-6.123788486265859,106.78775331546784,153,1.0837022613862197,115558.02973032785
