transaction_id,delivery_date,pickup_latitude,pickup_longitude,demand_volume,fuel_price_factor,final_price_idr
1,2024-10-01 00:00:00,-6.281650144687564,106.73298435310217,723,1.0450338014177163,16297.185668320682
2,2024-10-01 01:00:00,-6.114208644489087,106.79282423680927,103,1.066124123917089,11353.525274801103
3,2024-10-01 02:00:00,-6.191312258999247,106.96055584487867,129,1.017442837797998,11516.86474732553
4,2024-10-01 03:00:00,-6.299886600077452,106.96176131493041,133,1.0918972992992007,13451.606453153305
5,2024-10-01 04:00:00,-6.155207517707386,106.88610252381031,206,1.0212862605810311,12036.647792405176
6,2024-10-01 05:00:00,-6.215165434775235,106.73711677406223,123,1.0340761538320016,13332.833725331442
7,2024-10-01 06:00:00,-6.237154208587702,106.94656991586992,374,1.0705633048515344,14495.37460496272
8,2024-10-01 07:00:00,-6.221324335547635,106.79213123220703,447,1.0307231800323255,16373.263378032352
9,2024-10-01 08:00:00,-6.29148342716653,106.78163192025946,410,1.0970401706562254,16143.075686705499
10,2024-10-01 09:00:00,-6.222646914931055,106.84567426471749,148,1.0722616769614823,11438.383363790772
11,2024-10-01 10:00:00,-6.113184222751989,106.85656825730123,320,1.0843046936560126,13446.977630961668
12,2024-10-01 11:00:00,-6.177571831185199,106.86376230015456,235,1.0508087526148673,12640.3935170473
13,2024-10-01 12:00:00,-6.2483516031558,106.97535145669086,109,1.046042630512782,13779.331259342618
14,2024-10-01 13:00:00,-6.14298622436131,106.93339065042586,307,1.0200338946824121,12435.285874832134
15,2024-10-01 14:00:00,-6.258476482487086,106.85337955451917,588,1.085499845650266,16345.939768402637
16,2024-10-01 15:00:00,-6.180320221967182,106.85466953891247,160,1.00531504999757,13052.380586905987
17,2024-10-01 16:00:00,-6.129856464808291,106.86268068140336,444,1.0519379491100016,13447.875736617681
18,2024-10-01 17:00:00,-6.298162738012871,106.86297043832008,317,1.0354927063651993,12896.798636167032
19,2024-10-01 18:00:00,-6.121727275566095,106.87004302878586,444,1.0840673490129373,15543.130619266998
20,2024-10-01 19:00:00,-6.111766387162166,106.90000578693974,455,1.0246731813176644,13257.346509717978
21,2024-10-01 20:00:00,-6.239984271552718,106.79453294338687,187,1.0977314887975904,13344.875285736674
22,2024-10-01 21:00:00,-6.132980607967664,106.96586033825332,742,1.0307462749992289,17071.80772061643
23,2024-10-01 22:00:00,-6.258818740962349,106.76824106674582,439,1.0805936201587216,13799.446489609672
24,2024-10-01 23:00:00,-6.278019633909958,106.77183786826703,484,1.0221783995673117,14903.124202842318
25,2024-10-02 00:00:00,-6.141895852455423,106.78757510563015,333,1.042974657908053,13871.30309164412
26,2024-10-02 01:00:00,-6.29517202919017,106.73768516204359,441,1.0670796833194742,16256.391716085633
27,2024-10-02 02:00:00,-6.20228559667764,106.93496099327575,174,1.0938204275857277,12652.813528015078
28,2024-10-02 03:00:00,-6.275319124914087,106.75578876695444,447,1.0916056996191725,15678.771344105753
